Ndex,Cameo Pokémon,Card name,Set,#,Notes
494,Victini,Victory Cup,BW Promos,29,
,,Victory Cup,BW Promos,30,
,,Victory Cup,BW Promos,31,
,,Pikachu,BW-P Promos,120,
,,Pikachu,XY-P Promos,-,
,,Player's Ceremony,SM-P Promos,398,
,,Tohoku's Pikachu ,SV-P Promos,260,
495,Snivy,_____'s Pikachu,BW-P Promos,©2010,Jumbo
,,Tropical Beach,BW Promos,28,
,,Victory Cup,BW Promos,30,
,,Victory Cup,BW Promos,31,
,,Tepig,BW-P Promos,-,Jumbo
,,Oshawott,BW-P Promos,-,Jumbo
,,Victini,BW-P Promos,JR,Jumbo
,,Pikachu,BW-P Promos,120,
,,Pikachu,BW-P Promos,©2013,Jumbo
,,Jigglypuff,Fates Collide,65,
494,Servine,_____'s Snivy,Super Snivy,-,Jumbo
495,Serperior,_____'s Snivy,Super Snivy,-,Jumbo
498,Tepig,_____'s Pikachu,BW-P Promos,©2010,Jumbo
,,Cheren,Dark Explorers,91,
,,Tropical Beach,BW Promos,28,
,,Victory Cup,BW Promos,30,
,,Victory Cup,BW Promos,31,
,,Victini,BW-P Promos,JR,Jumbo
,,Pikachu,BW-P Promos,©2013,Jumbo
499,Pignite,_____'s Tepig,Terrific Tepig,-,Jumbo
,,Tepig,Battle Styles,23,
,,Tyranitar V,Battle Styles,155,
,,Tepig,SWSH Promos,172,
,,Hilda,White Flare,171,
500,Emboar,_____'s Tepig,Terrific Tepig,-,Jumbo
,,Blacksmith,Flashfire,88a,
501,Oshawott,_____'s Pikachu,BW-P Promos,©2010,Jumbo
,,Tepig,BW-P Promos,-,Jumbo
,,Tropical Beach,BW Promos,28,
,,Victory Cup,BW Promos,30,
,,Victory Cup,BW Promos,31,
,,Mewtwo,BW-P Promos,-,Jumbo
,,Victini,BW-P Promos,JR,Jumbo
,,Meloetta,BW Promos,68,
,,Champions Festival,BW Promos,95,
,,_____'s Pikachu,BW-P Promos,©2012,Jumbo
,,Pikachu,BW-P Promos,©2013,Jumbo
,,Pokémon Enterprise,EX Battle Boost,98,
502,Dewott,_____'s Oshawott,Outstanding Oshawott,-,Jumbo
503,Samurott,_____'s Oshawott,Outstanding Oshawott,-,Jumbo
504,Patrat,Oshawott,BW-P Promos,-,Jumbo
,,Battle Reporter,Furious Fists,88,
,,Battle Reporter,Furious Fists,109,
506,Lillipup,Aspertia City Gym,Boundaries Crossed,127,
,,Herdier,White Flare,155,picture
508,Stoutland,Reshiram,BW-P Promos,JR,Jumbo
509,Purrloin,Minccino,BW-P Promos,-,Jumbo
510,Liepard,Cheren's Care,Crown Zenith,GG58,
511,Pansage,Tropical Beach,BW Promos,50,
,,Tepig,BW-P Promos,-,Jumbo
,,Oshawott,BW-P Promos,-,Jumbo
,,Pikachu,BW-P Promos,©2011,Jumbo
,,Victini,BW-P Promos,JR,Jumbo
,,_____'s Pikachu,BW-P Promos,©2012,Jumbo
513,Pansear,Tepig,BW-P Promos,-,Jumbo
,,Pikachu,BW-P Promos,©2011,Jumbo
,,Tropical Beach,BW Promos,50,
,,Simisear VSTAR,Crown Zenith,GG37,
515,Panpour,Tropical Beach,BW Promos,50,
,,Pikachu,BW-P Promos,©2011,Jumbo
,,Oshawott,BW-P Promos,-,Jumbo
517,Munna,Minccino,BW-P Promos,-,Jumbo
,,Rockruff,Cosmic Eclipse,123,only partially visible
518,Musharna,Bianca's Devotion,Temporal Forces,209,
519,Pidove,Professor Juniper,Dark Explorers,98,
,,Pikachu,BW-P Promos,©2011,Jumbo
,,Munna,Black Bolt,116,
,,Liepard,White Flare,137,
,,Shelmet,White Flare,93,garden decor
520,Tranquill,Grubbin,Rebel Clash,16,
,,Leavanny,White Flare,89,
521,Unfezant,Hilda,White Flare,171,
523,Zebstrika,Zekrom,BW-P Promos,JR,Jumbo
,,Hilda,White Flare,171,
531,Audino,_____'s Pikachu,BW-P Promos,©2010,Jumbo
,,Minccino,BW-P Promos,-,Jumbo
,,_____'s Pikachu,BW-P Promos,©2012,Jumbo
,,Mega Audino ex,Ascended Heroes,253,
,Mega Audino,Audino Spirit Link,Fates Collide,92,
,,Poncho-wearing Pikachu,XY-P Promos,203,costume
532,Timburr,Mewtwo,BW-P Promos,-,Jumbo
,,Steelix,Paradox Rift,208,
533,Gurdurr,Steelix,Paradox Rift,208,
,,Timburr,Twilight Masquerade,183,
,,Conkeldurr,Black Bolt,127,
534,Conkeldurr,Mewtwo,BW-P Promos,-,Jumbo
,,Gurdurr,Black Bolt,126,drawing
535,Tympole,Oshawott,BW-P Promos,-,balloon; Jumbo
538,Throh,Sawk,Plasma Blast,52,
539,Sawk,Throh,Plasma Blast,51,
540,Sewaddle,Raichu,Evolving Skies,50,
,,Leavanny,Fusion Strike,11,
,,Leavanny,White Flare,89,
541,Swadloon,Leavanny,White Flare,89,
543,Venipede,Galarian Slowpoke,SWSH Promos,126,
546,Cottonee,Tepig,BW-P Promos,-,Jumbo
547,Whimsicott,Mewtwo,BW-P Promos,-,Jumbo
,,Detective Pikachu,SV-P Promos,98,
548,Petilil,Lilligant,Black Bolt,92,
,,Professor Sycamore,XY,122,picture
,,,Phantom Forces,101,
,,,BREAKpoint,107,
550,Basculin,Mew,Art Academy Promo,Phanpy,this card was only released in German
551,Sandile,Krokorok,Silver Tempest,112,
553,Krookodile,Hooligans Jim & Cas,Dark Explorers,95,jacket
554,Darumaka,Champions Festival,SM Promos,148,
,,Darmanitan,Black Bolt,98,
,,Celebratory Fanfare,MEP Promos,28,
555,Galarian Darmanitan,Detective Pikachu,SV-P Promos,98,only partially visible
556,Maractus,Machamp V,Astral Radiance,172,
557,Dwebble,Hippowdon,Astral Radiance,80,
,,Crustle,Black Bolt,130,
558,Crustle,Meloetta,BW Promos,69,
559,Scraggy,Hooligans Jim & Cas,Dark Explorers,95,
,,Meloetta,BW Promos,68,
560,Scrafty,Ghetsis,Plasma Freeze,101,
,,Eevee,SM-P Promos,371,
,,Lickilicky,Furious Fists,79,only partially visible
561,Sigilyph,Professor Sycamore,XY,122,picture
,,,Phantom Forces,101,
,,,BREAKpoint,107,
562,Yamask,Gourgeist,Art Academy Promo,rina,
563,Cofagrigus,Gourgeist,Art Academy Promo,rina,
564,Tirtouga,Aerodactyl V,Lost Origin,180,
,,Relicanth,Temporal Forces,173,
,,Cover Fossil,Noble Victories,90,fossil
,,,Plasma Blast,79,
,,Antique Cover Fossil,Stellar Crown,129,
,,,Black Bolt,80,
566,Archen,Eevee,SM-P Promos,371,
,,Plume Fossil,Noble Victories,93,fossil
,,,Plasma Blast,82,
,,Antique Plume Fossil,White Flare,79,
567,Archeops,Aerodactyl V,Lost Origin,180,
568,Trubbish,Empoleon,Legendary Treasures,35,
,,Phione,Legendary Treasures,36,
,,Player's Ceremony,SM-P Promos,248,
569,Gigantamax Garbodor,Flying Pikachu VMAX,Celebrations,7,only its toy plane
,,Surfing Pikachu VMAX,Celebrations,9,only its toy boat
570,Zorua,N,Fates Collide,105,
,,Player's Ceremony,SM-P Promos,248,
571,Zoroark,Illusion's Zorua,2010 Card Design Contest,2nd Grade,
,,Mewtwo-EX,BREAKthrough,163,
,,Pikachu,XY-P Promos,175,
,,Zorua,Shining Legends,52,
,,Zorua,SM Promos,83,
,,Pikachu,SV-P Promos,153,this card was only released in Traditional Chinese
,,Trick Coin,Phantom Forces,108,engraving
,Hisuian Zoroark,Pikachu,Crown Zenith,160,
,,Celebratory Fanfare,S-P Promos,306,
572,Minccino,Professor Juniper,Dark Explorers,98,
,,Grumpig,Fates Collide,31,
,,Regigigas,Crimson Invasion,84,
,,Pokémon Communication,Black & White,99,silhouette
573,Cinccino,Celebratory Fanfare,SV-P Promos,174,
574,Gothita,Golbat,Silver Tempest,104,
,,Salvatore,Temporal Forces,212,figure
577,Solosis,Reuniclus,Temporal Forces,171,
,,Reuniclus,SV Promos,212,
578,Duosion,Reuniclus,Temporal Forces,171,
,,Reuniclus,SV Promos,212,
579,Reuniclus,Mewtwo,BW-P Promos,-,Jumbo
580,Ducklett,Slowpoke,BREAKpoint,19,
,,Champions Festival,XY Promos,91,
,,Eevee,SM-P Promos,399,
581,Swanna,Champions Festival,XY Promos,91,
,,Yokohama's Pikachu,SM-P Promos,281,boat
582,Vanillite,Pikachu,BW-P Promos,©2011,Jumbo
,,Vanillish,White Flare,112,
,,Tierno,Kalos Starter Set,39,clothing design
,,,Phantom Forces,107,
,,,BREAKpoint,112,
583,Vanillish,Sightseer,Lost Thunder,189,
585,Deerling,Minccino,BW-P Promos,-,Jumbo
,,Ice Rider Calyrex V,Chilling Reign,164,
586,Sawsbuck,Deerling,White Flare,91,
587,Emolga,Shuckle,Legendary Treasures,3,
,,Meditite,Celestial Storm,76,
,,Shadow Rider Calyrex VMAX,Chilling Reign,205,
,,Kricketune,Crown Zenith,GG02,
,,Zeraora VMAX,Crown Zenith,GG42,
588,Karrablast,Shelmet,Crimson Invasion,8,
,,Shelmet,White Flare,8,
590,Foongus,Tepig,BW-P Promos,-,Jumbo
,,Pikachu,BW-P Promos,©2013,Jumbo
,,Amoongus,SM Promos,202,
,,Dudunsparce,Paldea Evolved,229,
,,Garganacl,Paradox Rift,202,
591,Amoongus,Ghetsis,Plasma Freeze,101,
592,Frillish,Gourgeist,Art Academy Promo,rina,
,,Vaporeon VMAX,SWSH Promos,182,
593,Jellicent,Piplup,Legendary Treasures,33,
,,Gourgeist,Art Academy Promo,rina,
595,Joltik,Player's Ceremony,SM-P Promos,248,
597,Ferroseed,Mewtwo,BW-P Promos,-,Jumbo
602,Tynamo,Dewott,Astral Radiance,42,
,,Canari,Ascended Heroes,291,plushie
604,Eelekross,Canari,Ascended Heroes,185,hairpiece
,,Canari,Ascended Heroes,257,
,,Canari,Ascended Heroes,291,plushie
,,Tarragon,Nihil Zero,73,plushie of hairpiece
,,Tarragon,Nihil Zero,105,Racine Construction logo
607,Litwick,Gourgeist,Art Academy Promo,rina,
608,Lampent,Gourgeist,Art Academy Promo,rina,
,,Litten,SM-P Promos,259,light
,,Chespin,SM-P Promos,260,
,,Cryogonal,Obsidian Flames,55,archway
609,Chandelure,Gourgeist,Art Academy Promo,rina,
610,Axew,Victini,BW-P Promos,JR,Jumbo
,,Fraxure,Shrouded Fable,77,
612,Haxorus,Rayquaza,BW-P Promos,-,Jumbo
,,Mewtwo-EX,BREAKthrough,163,
,,Iris's Fighting Spirit,Ascended Heroes,292,
613,Cubchoo,Cramorant,Twilight Masquerade,176,
616,Shelmet,Karrablast,Black Bolt,9,
617,Accelgor,Mewtwo,BW-P Promos,-,Jumbo
618,Stunfisk,Mewtwo,BW-P Promos,-,Jumbo
619,Mienfoo,Empoleon V,Battle Styles,146,
,,Mienshao,White Flare,134,
620,Mienshao,Minun,Furious Fists,32,
621,Druddigon,Iris's Fighting Spirit,Ascended Heroes,292,
622,Golett,Gourgeist,Art Academy Promo,rina,
,,Collapsed Stadium,Lost Origin,215,
623,Golurk,Pikachu,BW-P Promos,©2011,Jumbo
,,Reshiram,BW-P Promos,JR,Jumbo
,,Beartic,Furious Fists,22,
,,Gourgeist,Art Academy Promo,rina,
624,Pawniard,Kingambit,Scarlet & Violet,220,
,,Bisharp,Black Bolt,143,
625,Bisharp,Kingambit,Scarlet & Violet,220,
626,Bouffalant,Natu,Legendary Treasures,55,
627,Rufflet,Champions Festival,SM Promos,231,
,,Galarian Articuno V,Chilling Reign,170,
,,Hisuian Lilligant V,Astral Radiance,163,
,,Kricketune,Crown Zenith,GG02,
628,Braviary,Zekrom,BW-P Promos,JR,Jumbo
,,Champions Festival,XY Promos,27,
,,Latias,XY Promos,78,
,,Pyroar,Steam Siege,23,
630,Mandibuzz,Reshiram,BW-P Promos,JR,Jumbo
632,Durant,Heatmor,White Flare,104,
635,Hydreigon,Zekrom,BW-P Promos,JR,Jumbo
,,Rayquaza,BW-P Promos,-,Jumbo
,,Eevee,Twilight Masquerade,188,plushie
638,Cobalion,Pokédex,BW-P Promos,23,
639,Terrakion,Cobalion,Legendary Treasures,91,silhouette
640,Virizion,Cobalion,Legendary Treasures,91,silhouette
641,Tornadus,Thundurus,Unified Minds,68,
642,Thundurus,Tornadus,Unified Minds,178,
643,Reshiram,Victory Cup,BW Promos,31,
,,Oshawott,BW-P Promos,-,Jumbo
,,Golurk,Shining Legends,44,
,,Black Kyurem,XY Promos,80,only partially visible
644,Zekrom,Victory Cup,BW Promos,31,
,,Reshiram,BW-P Promos,-,Jumbo
,,Oshawott,BW-P Promos,-,Jumbo
,,Coach Trainer,Unified Minds,192,
,,Pikachu,SM-P Promos,400,
646,Kyurem,Battle City,BW Promos,39,
,,_____'s Pikachu,BW-P Promos,©2012,Jumbo
,Black Kyurem,Reshiram,XY Promos,74,only partially visible
648,Aria Meloetta,Champions Festival,SM Promos,148,
,Pirouette Meloetta,Floette,BREAKthrough,102,
,,Mewtwo-EX,BREAKthrough,163,
